code,obj,date
300104.SZ,454316696,2019-01-31 18:04:49
300104.SZ,454351078,2019-02-01 01:58:04
300111.SZ,454360291,2019-02-01 06:59:46
300113.SZ,453954720,2019-01-28 09:06:18
300116.SZ,454349853,2019-02-01 01:06:39
300116.SZ,454316696,2019-01-31 18:04:49
300124.SZ,454049469,2019-01-29 08:19:10
300133.SZ,454222170,2019-01-29 19:37:14
300133.SZ,454360451,2019-02-01 07:02:07
300133.SZ,454051341,2019-01-29 08:35:44
300133.SZ,454051311,2019-01-29 08:36:05
300136.SZ,454330753,2019-01-31 20:14:35
300142.SZ,454324570,2019-01-31 19:05:34
300147.SZ,454270628,2019-01-31 09:08:33
300152.SZ,454316696,2019-01-31 18:04:49
300158.SZ,453993878,2019-01-28 16:56:32
300162.SZ,454350806,2019-01-31 14:51:00
300179.SZ,454348988,2019-02-01 00:40:55
300182.SZ,454357754,2019-02-01 05:52:01
300188.SZ,454050113,2019-01-29 08:25:41
300188.SZ,454357754,2019-02-01 05:52:01
300192.SZ,454051341,2019-01-29 08:35:44
300192.SZ,454051333,2019-01-29 08:35:47
300192.SZ,454051311,2019-01-29 08:36:05
300220.SZ,454352392,2019-02-01 02:39:51
300241.SZ,454350806,2019-01-31 14:51:00
300244.SZ,454349842,2019-02-01 01:06:32
300250.SZ,454363186,2019-02-01 07:40:41
300250.SZ,454348405,2019-02-01 00:31:28
300251.SZ,454330753,2019-01-31 20:14:35
300251.SZ,454364780,2019-02-01 08:02:55
300253.SZ,454050113,2019-01-29 08:25:41
300253.SZ,454365640,2019-02-01 08:07:30
300267.SZ,454360655,2019-02-01 07:04:29
300269.SZ,454316696,2019-01-31 18:04:49
300269.SZ,454350806,2019-01-31 14:51:00
300271.SZ,454050113,2019-01-29 08:25:41
300273.SZ,454270628,2019-01-31 09:08:33
300291.SZ,454364780,2019-02-01 08:02:55
300296.SZ,454350806,2019-01-31 14:51:00
300301.SZ,454350806,2019-01-31 14:51:00
300303.SZ,454350806,2019-01-31 14:51:00
300317.SZ,454350806,2019-01-31 14:51:00
300323.SZ,454350806,2019-01-31 14:51:00
300346.SZ,454349840,2019-02-01 01:06:32
300362.SZ,454191156,2019-01-30 14:33:51
300362.SZ,453968724,2019-01-28 11:15:20
300373.SZ,454304391,2019-01-31 15:31:51
300389.SZ,454006241,2019-01-28 19:00:29
300415.SZ,454006241,2019-01-28 19:00:29
300418.SZ,454360442,2019-02-01 07:01:59
300420.SZ,454348405,2019-02-01 00:31:28
300426.SZ,454360451,2019-02-01 07:02:07
300426.SZ,454364780,2019-02-01 08:02:55
300426.SZ,454362737,2019-01-31 23:18:14
300433.SZ,453977547,2019-01-28 13:36:01
300443.SZ,454360237,2019-02-01 06:56:50
300450.SZ,454304391,2019-01-31 15:31:51
300457.SZ,454051341,2019-01-29 08:35:44
300458.SZ,454049469,2019-01-29 08:19:10
300462.SZ,454349854,2019-02-01 01:06:40
300467.SZ,454222170,2019-01-29 19:37:14
300474.SZ,454049469,2019-01-29 08:19:10
300476.SZ,454361456,2019-01-31 21:45:57
300484.SZ,454049469,2019-01-29 08:19:10
300486.SZ,453993878,2019-01-28 16:56:32
300496.SZ,454045628,2019-01-29 07:37:04
300499.SZ,454356921,2019-02-01 05:26:33
300500.SZ,454356921,2019-02-01 05:26:33
300501.SZ,454356921,2019-02-01 05:26:33
300502.SZ,454330753,2019-01-31 20:14:35
300528.SZ,454360656,2019-02-01 07:04:30
300582.SZ,453978116,2019-01-28 13:46:06
300616.SZ,454348775,2019-01-31 00:38:20
300618.SZ,454362349,2019-02-01 07:31:32
300644.SZ,454362349,2019-02-01 07:31:32
300647.SZ,454350806,2019-01-31 14:51:00
300659.SZ,454050113,2019-01-29 08:25:41
300664.SZ,454362349,2019-02-01 07:31:32
300679.SZ,454351078,2019-02-01 01:58:04
300699.SZ,454324570,2019-01-31 19:05:34
300733.SZ,454347744,2019-02-01 00:18:21
300750.SZ,454309604,2019-01-31 00:00:00
300750.SZ,454187962,2019-01-30 13:55:39
300750.SZ,454357754,2019-02-01 05:52:01
300760.SZ,454361918,2019-02-01 07:22:44
600000.SH,454147929,2019-01-30 02:08:00
600016.SH,454349842,2019-02-01 01:06:32
600027.SH,454362900,2019-02-01 07:36:34
600027.SH,454364052,2019-02-01 07:52:49
600028.SH,454304391,2019-01-31 15:31:51
600028.SH,454356918,2019-02-01 05:26:33
600028.SH,453997953,2019-01-28 17:33:02
600029.SH,454361463,2019-02-01 07:13:50
600030.SH,454147929,2019-01-30 02:08:00
600030.SH,454340017,2019-01-31 22:15:52
600030.SH,454361645,2019-02-01 07:16:25
600031.SH,454304391,2019-01-31 15:31:51
600036.SH,454184583,2019-01-30 12:33:44
600036.SH,454359896,2019-02-01 06:45:48
600036.SH,454270217,2019-01-31 08:02:00
600036.SH,454356918,2019-02-01 05:26:33
600038.SH,454162687,2019-01-30 09:16:48
600048.SH,454270628,2019-01-31 09:08:33
600050.SH,454286190,2019-01-31 11:18:58
600052.SH,454363817,2019-02-01 07:47:46
600059.SH,454270628,2019-01-31 09:08:33
600068.SH,454359919,2019-02-01 06:46:57
600079.SH,454277009,2019-01-31 13:54:46
600081.SH,454347491,2019-02-01 00:13:26
600081.SH,454360675,2019-02-01 07:04:48
600081.SH,454342380,2019-01-31 21:51:08
600084.SH,454362349,2019-02-01 07:31:32
600089.SH,454050132,2019-01-29 08:25:56
600089.SH,453989281,2019-01-26 15:48:00
600089.SH,454050387,2019-01-29 08:28:57
600094.SH,454161235,2019-01-30 09:05:48
600115.SH,454361463,2019-02-01 07:13:50
600117.SH,454347536,2019-02-01 00:13:34
600123.SH,454054582,2019-01-29 09:09:18
600135.SH,454161235,2019-01-30 09:05:48
600136.SH,454364780,2019-02-01 08:02:55
600145.SH,454123864,2019-01-29 21:43:25
600157.SH,454361343,2019-02-01 07:12:54
600157.SH,454360446,2019-02-01 07:02:10
600157.SH,454225714,2019-01-30 20:11:36
600163.SH,454360237,2019-02-01 06:56:50
600165.SH,454348858,2019-02-01 00:38:57
600168.SH,454054582,2019-01-29 09:09:18
600185.SH,454356690,2019-02-01 05:17:32
600185.SH,454270628,2019-01-31 09:08:33
